Name,Player Name,Team,Country,Age,Position,Picture Url,Appearances,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
ODIVAN,ODIVAN KOERICH,AREMA FC,BRAZIL,26,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25072403.png,1,0,1,2,0,5,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0
YANN MOTTA,YANN MOTTA PINTO,AREMA FC,BRAZIL,26,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE2111561585.png,3,0,0,2,1,4,0,0,0,4,0,2,0,5,8,0,104,0,0,1,0,2,2
JULIAN G.,SNEYDER JULIAN GUEVARA MUNOZ,AREMA FC,COLOMBIA,33,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23244779.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARKHAN,ARKHAN FIKRI,AREMA FC,INDONESIA,21,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22271118.png,3,0,5,1,0,0,1,2,2,0,6,3,0,0,0,0,82,0,0,0,1,0,0
PAULINHO,PAULO ROBERTO MOCCELIN,AREMA FC,BRAZIL,31,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25073982.png,5,2,2,2,0,0,8,1,10,4,9,10,0,1,5,0,127,0,0,3,2,6,0
VALDECI M.,VALDECI MOREIRA DA SILVA,AREMA FC,BRAZIL,30,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25079176.png,4,0,1,0,0,0,1,0,1,0,7,3,1,0,0,0,77,0,0,2,3,5,0
S. TUHAREA,SALIM AKBAR TUHAREA,AREMA FC,INDONESIA,21,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23304241.png,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MARASABESSY,MUHAMMAD RIFAD MARASABESSY,AREMA FC,INDONESIA,26,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1611022950.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALINSA,SAMUEL GIDEON BALINSA,AREMA FC,INDONESIA,26,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1711183167.png,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAYUS H.,JAYUS HARIONO,AREMA FC,INDONESIA,28,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1619753112.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F. ARZIDAN,FIKRI ARJIDAN,AREMA FC,INDONESIA,21,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21198702.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUSTI A.,AGUSTI ARDIANSYAH,AREMA FC,INDONESIA,18,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23300259.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWIKI M.,DWIKI MARDIYANTO,AREMA FC,INDONESIA,25,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1917228699.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SCHEUNEMANN,BRANDON MARSEL SCHEUNEMANN,AREMA FC,INDONESIA,20,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22144582.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHMAD M.,ACHMAD MAULANA SYARIF,AREMA FC,INDONESIA,22,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22280971.png,3,0,0,1,2,2,1,1,0,2,0,0,0,5,6,0,0,0,0,0,0,0,1
